processed_m4227_ME21_HV0_test40_SRCoff_170708_181240_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
11583	470	956	10781	5621	3135	1537	1058	0	0	0	0	0	320	34267	10461	400	10386	75	9962	9988	424	398	128	154	84	10386	552	10386	960	952	8	9434	952	10867	10507	10417	11797	960	952	104824	4359	6277	4113	2074	1280
592	13	0	249	69	62	57	69	0	0	0	0	0	121	631	128	1	82	46	80	82	2	0	0	2	0	82	2	82	0	0	0	82	0	11117	10636	10500	12391	960	952	252862	80	81	81	74	76
11608	475	938	10852	5511	3256	1630	1015	0	0	0	0	0	311	34443	10541	387	10436	105	9999	10051	437	385	122	174	64	10436	559	10436	941	937	4	9499	937	21969	21177	20936	23999	1901	1889	307234	4340	6233	4204	2212	1225
614	17	0	266	74	54	72	76	0	0	0	0	0	145	695	121	7	77	44	68	71	9	6	2	5	0	77	11	77	0	0	0	77	0	22236	21299	21013	24613	1901	1889	455284	88	80	79	99	86
11440	468	994	10685	5478	3209	1555	1042	0	0	0	0	0	303	33914	10382	393	10296	86	9873	9903	423	393	146	176	78	10296	569	10296	997	991	6	9305	991	32921	31681	31309	36055	2898	2880	509657	4298	6142	4184	2047	1216
598	7	0	239	73	65	54	56	0	0	0	0	0	107	628	132	3	88	44	84	85	4	3	0	1	0	88	4	88	0	0	0	88	0	33160	31813	31397	36654	2898	2880	657706	77	80	80	78	62
11256	514	926	10496	5411	3083	1542	1015	0	0	0	0	0	297	33369	10199	390	10114	85	9649	9724	465	390	134	209	63	10114	599	10114	930	923	7	9191	923	43656	42012	41511	47911	3828	3803	712080	4214	6036	4037	2070	1214
657	15	0	259	70	67	69	60	0	0	0	0	0	115	693	144	1	93	51	88	92	5	1	0	4	0	93	5	93	0	0	0	93	0	43918	42157	41604	48570	3828	3803	860129	78	80	89	80	70
11315	502	874	10541	5504	2999	1547	1039	0	0	0	0	0	307	33456	10234	405	10169	65	9724	9766	445	403	137	179	69	10169	582	10169	883	873	10	9296	873	54459	52391	51773	59885	615	580	914503	4347	6107	3988	2064	1256
608	12	0	221	59	46	52	69	0	0	0	0	0	94	576	127	2	73	54	70	71	3	2	1	2	1	73	4	73	0	0	0	73	0	54680	52518	51846	60493	615	580	1062541	65	66	70	74	82
11391	482	945	10686	5493	3112	1555	1060	0	0	0	0	0	336	33809	10350	377	10259	91	9821	9882	438	377	121	182	75	10259	559	10259	949	942	7	9317	942	65366	62868	62105	71884	1564	1522	1116926	4370	6157	4076	2082	1250
669	13	0	272	64	72	63	76	0	0	0	0	0	128	696	144	1	97	47	93	96	4	1	1	4	0	97	5	97	0	0	0	97	0	65639	63012	62202	72553	1564	1522	1264965	101	75	98	89	83
11539	484	931	10761	5540	3150	1640	1043	0	0	0	0	0	324	34212	10437	421	10360	77	9924	9939	436	421	151	166	70	10360	587	10360	933	928	5	9432	928	76400	73449	72562	84092	2497	2450	1319337	4385	6169	4148	2174	1243
679	15	0	250	65	63	58	73	0	0	0	0	0	118	666	132	2	79	53	78	77	1	2	1	0	1	79	2	79	0	0	0	79	0	76651	73582	72642	84772	2497	2450	1467387	70	76	81	76	86
11636	474	934	10826	5499	3185	1714	1008	0	0	0	0	0	320	34497	10506	399	10423	83	10000	10024	423	399	142	166	63	10423	565	10423	938	932	6	9491	932	87477	84088	83065	96409	3435	3382	1521760	4301	6159	4157	2254	1240
615	12	0	251	76	60	59	66	0	0	0	0	0	114	639	137	3	79	58	73	77	6	2	1	5	1	79	7	79	0	0	0	79	0	87728	84225	83144	97024	3435	3382	1669810	83	82	74	77	78
11668	495	964	10833	5572	3145	1648	1028	0	0	0	0	0	329	34412	10504	395	10425	79	9978	10031	447	394	129	182	66	10425	576	10425	969	962	7	9463	962	98561	94729	93569	108694	308	248	1724183	4392	6231	4113	2154	1219
624	12	0	233	51	69	68	55	0	0	0	0	0	118	586	115	5	76	39	74	72	2	4	2	0	0	76	4	76	0	0	0	76	0	98794	94844	93645	109318	308	248	1872223	81	60	87	83	65
11801	528	968	11063	5679	3194	1675	1110	0	0	0	0	0	329	35145	10734	426	10647	87	10164	10221	483	426	148	205	76	10647	631	10647	971	966	5	9681	966	109857	105578	104292	121120	1279	1214	1926606	4518	6341	4194	2233	1310
621	5	0	247	58	63	61	74	0	0	0	0	0	127	663	120	2	66	54	65	65	1	1	1	1	0	66	2	66	0	0	0	66	0	110104	105698	104358	121742	1279	1214	2074645	73	62	81	78	81
12164	529	1010	11371	5836	3366	1671	1102	0	0	0	0	0	331	36247	11040	406	10950	90	10467	10544	483	406	110	187	69	10950	593	10950	1012	1004	8	9946	1004	121475	116738	115308	133907	2291	2218	2129029	4564	6512	4359	2250	1303
607	17	0	248	69	59	59	69	0	0	0	0	0	105	660	143	4	84	59	79	80	5	4	1	2	1	84	6	84	0	0	0	84	0	121724	116881	115392	134515	2291	2218	2277068	70	77	78	74	79
11010	484	844	10229	5215	3048	1504	1005	0	0	0	0	0	329	32492	9900	385	9832	68	9395	9448	437	384	121	174	72	9832	558	9832	847	843	4	8989	843	131953	126781	125224	145525	3138	3061	2331452	4148	5804	3935	2017	1193
655	14	0	282	58	79	70	89	0	0	0	0	0	130	755	152	5	96	56	91	91	5	5	2	2	0	96	7	96	0	0	0	96	0	132236	126934	125321	146183	3138	3061	2479491	88	68	101	93	99
11390	456	928	10675	5496	3107	1624	1014	0	0	0	0	0	304	33882	10371	392	10286	85	9866	9894	420	392	138	166	70	10286	558	10286	931	924	7	9362	924	142911	137305	135607	157573	4069	3985	2533864	4311	6138	4024	2148	1208
670	10	0	280	75	65	81	66	0	0	0	0	0	131	725	149	2	101	48	99	99	2	2	1	1	0	101	3	101	0	0	0	101	0	143191	137454	135708	158243	4069	3985	2681913	105	83	94	100	75
11362	474	950	10611	5533	3071	1540	1030	0	0	0	0	0	304	33745	10307	377	10232	75	9796	9856	436	376	130	190	65	10232	566	10232	953	948	5	9284	948	153802	147761	145940	169606	926	837	2736287	4262	6195	4018	2041	1212
629	16	0	254	71	58	78	59	0	0	0	0	0	104	674	150	1	91	59	84	90	7	1	0	6	1	91	7	91	0	0	0	91	0	154056	147911	146031	170235	926	837	2884336	74	79	82	94	68
11268	468	930	10492	5364	3114	1566	966	0	0	0	0	0	327	33410	10165	377	10089	76	9661	9712	428	377	127	178	68	10089	555	10089	932	925	7	9164	925	164548	158076	156120	181504	1858	1762	2938710	4264	6019	4036	2090	1147
600	11	0	261	66	50	79	72	0	0	0	0	0	127	673	134	2	88	46	83	86	5	2	1	4	0	88	6	88	0	0	0	88	0	164809	158210	156208	182104	1858	1762	3086748	84	70	72	96	83
11749	505	991	10950	5607	3223	1669	1070	0	0	0	0	0	328	34789	10622	410	10548	74	10086	10138	462	410	139	191	59	10548	601	10548	997	988	9	9560	988	175759	168832	166756	193853	2855	2750	3141138	4458	6306	4105	2201	1269
661	17	0	263	54	77	68	73	0	0	0	0	0	132	672	131	1	82	49	76	81	6	1	1	6	1	82	7	82	0	0	0	82	0	176022	168963	166838	194514	2855	2750	3289171	86	69	93	93	80
11436	504	906	10701	5437	3169	1651	999	0	0	0	0	0	337	34023	10364	376	10291	73	9827	9916	464	375	103	192	68	10291	567	10291	912	904	8	9387	904	186723	179327	177129	205950	3767	3654	3343556	4398	6077	4103	2182	1199
617	8	0	239	68	56	62	59	0	0	0	0	0	124	613	115	0	75	40	75	75	0	0	0	0	0	75	0	75	0	0	0	75	0	186962	179442	177204	206567	3767	3654	3491594	66	73	72	84	67
11107	460	898	10371	5351	3068	1517	974	0	0	0	0	0	296	32947	10075	377	9998	77	9584	9621	414	377	126	163	57	9998	540	9998	902	897	5	9101	897	197333	189517	187202	217674	573	455	3545967	4231	5958	4007	2075	1185
676	6	0	283	77	73	68	75	0	0	0	0	0	126	750	157	6	99	58	93	93	6	6	2	2	1	99	8	99	0	0	0	99	0	197616	189674	187301	218351	573	455	3694018	97	81	93	94	87
11929	473	999	11091	5754	3249	1604	1083	0	0	0	0	0	330	35209	10761	423	10696	65	10259	10273	437	423	162	176	72	10696	599	10696	1009	999	10	9697	999	208707	200435	197997	230280	1582	1454	3748390	4543	6445	4184	2158	1282
632	12	0	257	68	60	60	81	0	0	0	0	0	108	680	149	3	88	61	85	85	3	3	3	3	2	88	6	88	0	0	0	88	0	208965	200585	198086	230915	1582	1454	3896440	88	72	81	79	86
11524	470	903	10753	5434	3161	1665	1079	0	0	0	0	0	328	34211	10425	392	10337	88	9904	9945	433	392	132	173	78	10337	565	10337	904	901	3	9436	901	219719	211010	208423	242440	2486	2355	3950813	4355	6070	4137	2184	1246
652	8	0	242	70	58	55	68	0	0	0	0	0	105	639	137	3	92	45	86	89	6	3	0	3	0	92	6	92	0	0	0	92	0	219961	211147	208515	243092	2486	2355	4098863	80	81	79	73	76
11655	476	951	10887	5590	3173	1634	1036	0	0	0	0	0	342	34531	10545	397	10451	94	10025	10057	426	394	145	177	77	10451	571	10451	952	949	3	9502	949	230849	221693	218967	254748	3438	3304	4153236	4398	6246	4125	2175	1226
631	11	0	254	76	60	57	66	0	0	0	0	0	118	675	136	4	87	49	80	83	7	4	1	4	1	87	8	87	0	0	0	87	0	231103	221829	219054	255379	3438	3304	4301275	87	82	77	82	77
12153	518	949	11326	5786	3317	1703	1121	0	0	0	0	0	322	36000	11004	400	10913	91	10446	10513	467	400	146	213	60	10913	613	10913	950	946	4	9967	946	242429	232833	229967	267532	292	154	4355651	4570	6440	4366	2248	1310
648	16	0	282	72	75	73	71	0	0	0	0	0	137	724	145	1	92	53	86	91	6	1	1	6	0	92	7	92	0	0	0	92	0	242711	232978	230059	268180	292	154	4503698	93	83	88	96	88
