processed_m4469_ME11_HV0_test40_SRCoff_170714_165643_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
10295	189	1188	3546	1360	1494	780	0	4	5	12	21	3525	2661	6965	885	22	872	13	812	850	60	22	6	44	2	872	66	872	1394	159	1235	713	159	3547	885	872	10355	1394	159	104803	0	0	0	0	0
692	10	0	17	7	5	4	0	0	1	0	1	16	13	31	4	0	4	0	4	4	0	0	0	0	0	4	0	4	0	0	0	4	0	3564	889	876	11048	1394	159	590213	0	0	0	0	0
10675	183	1240	3670	1383	1628	759	0	1	5	6	12	3658	2795	7142	875	11	862	13	807	851	55	11	5	49	0	862	60	862	1424	175	1249	687	175	7234	1764	1738	21723	2818	334	644586	0	0	0	0	0
652	10	0	18	9	4	4	0	1	0	0	1	17	16	28	2	0	2	0	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	7252	1766	1740	22375	2818	334	1130006	0	0	0	0	0
10143	173	1049	3331	1245	1433	747	0	4	6	9	18	3313	2522	6430	809	27	803	6	751	776	52	27	8	33	8	803	60	803	1226	149	1077	654	149	10583	2575	2543	32519	4044	483	1184380	0	0	0	0	0
649	8	0	20	7	6	7	0	0	1	0	1	19	15	42	5	0	4	1	2	4	2	0	0	2	0	4	2	4	0	0	0	4	0	10603	2580	2547	33168	4044	483	1669790	0	0	0	0	0
10729	193	1197	3679	1367	1655	750	0	5	7	9	21	3658	2770	7219	909	18	898	11	840	880	58	18	5	45	2	898	63	898	1397	176	1221	722	176	14282	3489	3445	43897	1345	659	1724163	0	0	0	0	0
661	4	0	19	3	5	8	0	1	1	1	3	16	16	41	3	0	2	1	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	14301	3492	3447	44559	1345	659	2209574	0	0	0	0	0
10554	200	1149	3616	1386	1517	803	0	3	8	9	20	3596	2745	6992	871	17	863	8	803	846	60	17	5	48	4	863	65	863	1365	173	1192	690	173	17917	4363	4310	55113	2710	832	2263957	0	0	0	0	0
647	4	0	25	8	12	4	0	0	0	1	1	24	24	44	1	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	17942	4364	4311	55760	2710	832	2749369	0	0	0	0	0
10098	200	1069	3395	1250	1444	768	0	6	8	8	22	3373	2544	6645	851	16	842	9	783	826	59	16	5	48	2	842	64	842	1258	154	1104	688	154	21337	5215	5153	65860	3968	986	2803741	0	0	0	0	0
671	12	0	18	5	6	4	0	1	1	1	3	15	16	33	2	0	2	0	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	21355	5217	5155	66531	3968	986	3289151	0	0	0	0	0
10474	198	1138	3566	1333	1556	752	0	5	11	6	22	3544	2690	6955	876	29	866	10	787	837	79	29	3	53	11	866	82	866	1334	156	1178	710	156	24921	6093	6021	77006	1206	1142	3343534	0	0	0	0	0
668	3	0	17	7	5	3	0	0	0	2	2	15	16	29	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24938	6094	6021	77674	1206	1142	3828945	0	0	0	0	0
10045	219	1117	3385	1309	1433	726	0	5	9	7	21	3364	2541	6661	844	12	840	4	774	828	66	12	1	55	3	840	67	840	1298	150	1148	690	150	28323	6938	6861	87719	2504	1292	3883318	0	0	0	0	0
659	11	0	19	8	5	6	0	0	1	2	3	16	15	37	4	2	4	0	2	2	2	2	0	0	1	4	2	4	0	0	0	4	0	28342	6942	6865	88378	2504	1292	4368729	0	0	0	0	0
10148	178	1126	3383	1296	1420	750	0	3	6	9	17	3365	2562	6668	821	21	814	7	760	793	54	21	7	40	6	814	61	814	1301	148	1153	666	148	31725	7763	7679	98526	3805	1440	4423113	0	0	0	0	0
684	8	0	19	8	2	8	0	0	0	1	1	18	16	40	3	0	2	1	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	31744	7766	7681	99210	3805	1440	4908522	0	0	0	0	0
9991	165	1073	3362	1294	1413	725	0	7	9	9	25	3337	2554	6480	808	21	802	6	754	781	48	21	7	34	2	802	55	802	1250	143	1107	659	143	35108	8576	8485	109207	959	1583	4962896	0	0	0	0	0
608	8	0	13	4	4	2	0	0	0	3	3	10	12	22	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35121	8577	8485	109815	959	1583	5448317	0	0	0	0	0
10417	184	1185	3498	1357	1496	750	0	6	4	7	16	3482	2656	6820	842	31	834	8	766	803	68	31	13	50	7	834	81	834	1365	173	1192	661	173	38620	9419	9319	120233	2324	1756	5502702	0	0	0	0	0
615	6	0	24	7	9	8	0	0	1	0	1	23	19	45	5	0	2	3	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	38644	9424	9321	120850	2324	1756	5988111	0	0	0	0	0
10508	176	1214	3588	1397	1527	740	0	4	11	6	21	3567	2725	6883	863	16	853	10	804	837	49	16	7	40	6	853	56	853	1398	168	1230	685	168	42232	10287	10174	131358	3722	1924	6042484	0	0	0	0	0
678	5	0	19	7	5	5	0	0	1	1	2	17	14	36	5	0	3	2	3	3	0	0	0	0	0	3	0	3	0	0	0	3	0	42251	10292	10177	132036	3722	1924	6527895	0	0	0	0	0
9830	195	1130	3330	1266	1416	728	0	6	10	6	22	3308	2533	6462	797	16	789	8	741	773	48	16	5	37	2	789	53	789	1302	171	1131	618	171	45581	11089	10966	141866	928	2095	6582267	0	0	0	0	0
647	3	0	16	4	3	7	0	1	0	1	2	14	13	27	3	0	2	1	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	45597	11092	10968	142513	928	2095	7067677	0	0	0	0	0
10176	188	1135	3441	1297	1493	764	0	3	6	9	17	3424	2610	6740	831	21	816	15	755	795	61	21	10	50	9	816	71	816	1314	145	1169	671	145	49038	11923	11784	152689	2242	2240	7122050	0	0	0	0	0
707	9	0	30	5	12	11	0	1	1	1	3	27	27	54	3	0	2	1	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	49068	11926	11786	153397	2242	2240	7607472	0	0	0	0	0
10809	166	1220	3572	1325	1571	763	0	2	9	5	16	3556	2718	6984	854	23	845	9	781	822	64	23	5	46	6	845	69	845	1424	166	1258	679	166	52640	12780	12631	164207	3666	2406	7661837	0	0	0	0	0
650	10	0	22	7	6	9	0	0	0	1	1	21	14	48	8	0	2	6	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	52662	12788	12633	164857	3666	2406	8147256	0	0	0	0	0
10401	182	1141	3466	1339	1464	740	0	6	13	6	25	3441	2652	6710	814	15	804	10	754	789	50	15	2	37	6	804	52	804	1342	145	1197	659	145	56128	13602	13437	175259	912	2551	8201628	0	0	0	0	0
651	3	0	14	4	4	6	0	0	1	0	1	13	12	25	2	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	56142	13604	13438	175910	912	2551	8687049	0	0	0	0	0
10256	165	1155	3451	1323	1480	743	0	5	6	4	15	3436	2629	6727	822	19	815	7	766	796	49	19	6	36	3	815	55	815	1334	159	1175	656	159	59593	14426	14253	186168	2246	2710	8741423	0	0	0	0	0
607	3	0	16	2	9	4	0	0	0	1	1	15	14	28	2	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	59609	14428	14254	186776	2246	2710	9226833	0	0	0	0	0
10415	197	1180	3580	1311	1541	835	0	2	6	7	15	3565	2697	7009	883	23	872	11	808	849	64	23	7	48	4	872	71	872	1401	148	1253	724	148	63189	15311	15126	197191	3647	2858	9281205	0	0	0	0	0
667	10	0	19	7	6	5	0	0	0	2	2	17	16	37	3	0	1	2	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	63208	15314	15127	197858	3647	2858	9766617	0	0	0	0	0
10612	206	1194	3592	1335	1604	748	0	4	6	9	17	3575	2731	6989	861	25	851	10	785	826	66	25	7	48	5	851	73	851	1406	167	1239	684	167	66801	16175	15978	208472	957	3025	9821000	0	0	0	0	0
620	5	0	12	4	7	1	0	0	0	0	0	12	10	28	2	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	66813	16177	15979	209093	957	3025	10306411	0	0	0	0	0
10488	188	1181	3667	1463	1515	793	0	5	3	2	10	3657	2803	7122	864	19	857	7	806	838	51	19	6	38	5	857	57	857	1367	164	1203	693	164	70480	17041	16836	219581	2324	3189	10360782	0	0	0	0	0
639	8	0	19	6	9	3	0	1	0	0	1	18	13	42	6	0	3	3	3	3	0	0	0	0	0	3	0	3	0	0	0	3	0	70499	17047	16839	220220	2324	3189	10846194	0	0	0	0	0
10432	201	1157	3481	1356	1466	752	0	5	12	9	25	3456	2681	6806	800	20	795	5	744	775	51	20	8	39	3	795	59	795	1356	153	1203	642	153	73980	17847	17634	230652	3680	3342	10900577	0	0	0	0	0
623	7	0	19	5	7	7	0	1	0	0	1	18	17	36	2	0	2	0	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	73999	17849	17636	231275	3680	3342	11385988	0	0	0	0	0
10188	185	1077	3460	1412	1431	709	0	1	7	3	11	3449	2630	6700	830	25	823	7	768	798	55	25	7	37	1	823	62	823	1262	133	1129	690	133	77459	18679	18459	241464	846	3475	11440361	0	0	0	0	0
630	6	0	18	6	7	4	0	0	1	0	1	17	15	35	3	0	3	0	3	3	0	0	0	0	0	3	0	3	0	0	0	3	0	77477	18682	18462	242094	846	3475	11925770	0	0	0	0	0
10266	200	1136	3461	1317	1467	761	0	5	14	11	30	3431	2632	6733	829	19	817	12	748	798	69	19	4	54	3	817	73	817	1325	158	1167	659	158	80938	19511	19279	252360	2171	3633	11980155	0	0	0	0	0
629	7	0	25	10	7	5	0	1	1	2	4	21	22	44	3	0	1	2	1	1	0	0	0	0	0	1	0	1	0	0	0	1	0	80963	19514	19280	252989	2171	3633	12465565	0	0	0	0	0
9563	166	1093	3214	1263	1343	689	0	4	5	5	14	3200	2423	6312	791	18	778	13	736	760	42	18	5	29	1	778	47	778	1256	158	1098	620	158	84177	20305	20058	262554	3427	3791	12519938	0	0	0	0	0
687	11	0	17	8	3	6	0	1	0	0	1	16	17	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84194	20305	20058	263241	3427	3791	13005349	0	0	0	0	0
10312	189	1098	3508	1279	1561	778	0	1	7	5	12	3496	2676	6775	832	21	820	12	761	799	59	21	3	41	5	820	62	820	1300	161	1139	659	161	87702	21137	20878	273553	631	3952	13059734	0	0	0	0	0
625	6	0	17	6	4	7	0	0	0	0	0	17	13	34	4	1	2	2	1	1	1	1	0	0	0	2	1	2	0	0	0	2	0	87719	21141	20880	274178	631	3952	13545143	0	0	0	0	0
10061	159	1128	3392	1266	1471	745	0	1	8	1	10	3382	2541	6628	851	14	836	15	782	822	54	14	5	45	5	836	59	836	1325	156	1169	680	156	91112	21992	21716	284241	1956	12	13599516	0	0	0	0	0
653	6	0	21	11	6	5	0	0	0	0	0	21	17	38	4	0	3	1	3	3	0	0	0	0	0	3	0	3	0	0	0	3	0	91133	21996	21719	284894	1956	12	14084926	0	0	0	0	0
10117	185	1130	3484	1311	1498	758	0	6	8	6	18	3465	2640	6835	844	20	837	7	784	817	53	20	5	38	4	837	58	837	1319	171	1148	666	171	94617	22840	22556	295011	3275	183	14139309	0	0	0	0	0
619	7	0	22	1	11	5	0	2	0	3	5	17	20	38	2	0	2	0	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	94639	22842	22558	295630	3275	183	14624720	0	0	0	0	0
10303	193	1073	3514	1352	1483	770	0	2	8	7	17	3497	2664	6824	850	22	845	5	782	823	63	22	5	46	4	845	68	845	1294	181	1113	664	181	98153	23692	23403	305934	473	364	14679093	0	0	0	0	0
644	12	0	16	6	3	7	0	0	1	1	2	14	8	37	8	0	5	3	4	5	1	0	0	1	0	5	1	5	0	0	0	5	0	98169	23700	23408	306578	473	364	15164504	0	0	0	0	0
9873	191	1028	3280	1200	1409	736	0	2	9	4	14	3265	2464	6441	816	25	809	7	735	784	74	25	2	51	8	809	76	809	1194	149	1045	660	149	101449	24516	24217	316451	1667	513	15218888	0	0	0	0	0
640	7	0	18	4	6	7	0	1	1	1	3	15	12	34	6	1	4	2	3	3	1	1	0	0	1	4	1	4	0	0	0	4	0	101467	24522	24221	317091	1667	513	15704299	0	0	0	0	0
9849	196	1062	3302	1250	1416	729	0	6	7	13	26	3276	2468	6498	834	16	825	9	759	809	66	16	5	55	3	825	71	825	1228	160	1068	665	160	104769	25356	25046	326941	2895	673	15758671	0	0	0	0	0

processed_m4470_ME11_HV0_test40_SRCoff_170714_175539_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
13044	311	1321	11245	4611	4132	2846	0	53	67	65	176	11069	495	35461	10750	211	10737	13	10457	10526	280	211	67	136	40	10737	347	10737	1323	1311	12	9426	1311	11257	10757	10742	13124	1323	1311	104812	0	0	0	0	0
806	5	0	128	36	43	31	0	10	13	4	24	104	88	284	40	0	29	11	29	29	0	0	0	0	0	29	0	29	0	0	0	29	0	11385	10797	10771	13930	1323	1311	590245	0	0	0	0	0
12778	298	1256	10999	4602	3907	2836	0	51	77	50	172	10827	516	34722	10483	213	10471	12	10209	10258	262	213	80	129	23	10471	342	10471	1258	1239	19	9232	1239	22384	21280	21242	26708	2581	2550	644618	0	0	0	0	0
888	6	0	117	37	29	32	0	4	12	9	23	94	69	273	48	0	43	5	40	43	3	0	0	3	0	43	3	43	0	0	0	43	0	22501	21328	21285	27596	2581	2550	1130016	0	0	0	0	0
13445	364	1395	11608	4964	4124	2949	0	54	56	55	158	11447	535	36722	11073	250	11060	13	10734	10810	326	250	79	155	46	11060	405	11060	1396	1379	17	9681	1379	34110	32402	32346	41042	3978	3930	1184389	0	0	0	0	0
855	8	0	118	24	40	33	0	6	11	8	25	93	68	280	50	1	36	14	35	36	1	0	0	1	0	36	1	36	0	0	0	36	0	34228	32452	32382	41897	3978	3930	1669800	0	0	0	0	0
13239	352	1312	11382	4742	4148	2900	0	38	58	59	150	11230	501	35949	10881	236	10872	9	10560	10636	312	236	81	157	39	10872	393	10872	1313	1296	17	9576	1296	45616	43339	43260	55143	1196	1131	1724184	0	0	0	0	0
894	8	0	132	46	34	36	0	5	11	6	20	112	78	308	54	0	44	10	40	44	4	0	0	4	0	44	4	44	0	0	0	44	0	45748	43393	43304	56037	1196	1131	2209595	0	0	0	0	0
