processed_m4438_ME11_HV0_test40_SRCoff_170714_023815_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
22967	364	1557	31846	8904	11122	11084	0	394	404	358	1147	30698	30744	42473	1102	32	1036	66	946	1004	90	32	7	65	4	1036	97	1036	1771	185	1586	851	185	2653673	17702	13639	794309	2761	2374	5151835	0	0	0	0	0
45466	23	0	203114	54894	67946	74213	0	2803	2744	2531	8013	195101	202785	251120	329	0	2	327	2	2	0	0	0	0	0	2	0	2	0	0	0	2	0	2856841	18031	13641	839796	2761	2374	5556276	0	0	0	0	0
24540	407	1750	32522	9007	11421	11353	0	383	412	386	1175	31347	31226	43871	1296	29	1229	67	1129	1200	100	29	7	78	2	1229	107	1229	2024	226	1798	1003	226	2889418	19327	14870	864345	689	2600	5610649	0	0	0	0	0
46031	33	0	202973	54602	67770	74463	0	2822	2774	2545	8079	194894	202661	250742	312	0	8	304	8	8	0	0	0	0	0	8	0	8	0	0	0	8	0	3092452	19639	14878	910393	689	2600	6015100	0	0	0	0	0
25024	440	1798	32579	9138	11241	11481	0	345	405	392	1133	31445	31331	43973	1248	42	1181	67	1062	1139	119	42	5	82	2	1181	124	1181	2074	226	1848	955	226	3125094	20887	16059	935434	2763	2826	6069474	0	0	0	0	0
45352	19	0	202831	54600	67848	74238	0	2719	2784	2549	7988	194843	202541	250322	290	0	4	286	4	4	0	0	0	0	0	4	0	4	0	0	0	4	0	3327979	21177	16063	980797	2763	2826	6473915	0	0	0	0	0
24702	410	1658	32345	9112	11243	11260	0	378	414	379	1159	31184	31103	43747	1242	29	1190	52	1087	1161	103	29	12	86	4	1190	115	1190	1937	191	1746	999	191	3360387	22419	17253	1005513	604	3017	6528287	0	0	0	0	0
45920	31	0	202595	54698	67425	74324	0	2776	2805	2496	8013	194580	202323	249456	272	0	3	269	3	3	0	0	0	0	0	3	0	3	0	0	0	3	0	3563034	22691	17256	1051448	604	3017	6932741	0	0	0	0	0
24185	404	1720	32382	9089	11237	11287	0	385	405	393	1172	31210	31197	43432	1185	33	1126	59	1032	1093	94	33	9	70	6	1126	103	1126	1954	214	1740	912	214	3595477	23877	18382	1075650	2558	3231	6987113	0	0	0	0	0
45845	37	0	202735	54635	67820	74281	0	2670	2756	2556	7929	194806	202446	250305	289	0	5	284	5	5	0	0	0	0	0	5	0	5	0	0	0	5	0	3798279	24166	18387	1121516	2558	3231	7391554	0	0	0	0	0
