processed_m4605_ME21_HV0_test40_SRCoff_170717_102918_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
61327	2822	3393	184788	51188	46297	35410	55525	0	0	0	0	0	137978	321528	46810	1962	46238	572	43769	44277	2469	1961	590	1098	398	46238	3059	46238	3409	3311	98	42927	3311	310841	47155	46269	68059	3409	3311	104926	17780	58313	60436	44664	58928
19339	33	0	369400	89225	85569	67709	129080	0	0	0	0	0	368284	460275	1116	1	89	1027	86	88	3	1	1	3	0	89	4	89	0	0	0	89	0	680549	48272	46358	87414	3409	3311	252965	323	102383	113261	83343	134518
63101	2813	3503	186022	51831	46692	35611	55604	0	0	0	0	0	137754	326072	48268	1995	47648	620	45183	45656	2465	1992	651	1124	404	47648	3116	47648	3520	3416	104	44232	3416	866882	96540	94006	150533	2833	2631	307349	18229	59231	61050	44817	59041
19408	34	0	368829	88976	85566	67381	129097	0	0	0	0	0	367738	459760	1091	1	87	1004	83	87	4	0	0	4	0	87	4	87	0	0	0	87	0	1236012	97631	94093	169957	2833	2631	455388	302	102259	113320	83121	134529
62271	2748	3347	185150	51539	46091	35415	55731	0	0	0	0	0	137409	323871	47741	1951	47106	635	44709	45156	2397	1950	675	1122	396	47106	3072	47106	3360	3263	97	43843	3263	1421462	145375	141199	232245	2097	1798	509774	18152	58815	60311	44596	59095
19513	31	0	368765	89242	85394	67188	129106	0	0	0	0	0	367691	459563	1074	2	90	984	87	88	3	2	1	2	1	90	4	90	0	0	0	90	0	1790551	146451	141289	251768	2097	1798	657809	282	102507	112679	82631	134655
63444	2902	3431	186662	52710	46386	35956	55440	0	0	0	0	0	137950	327288	48712	2088	48103	609	45550	46019	2553	2084	709	1178	401	48103	3262	48103	3453	3362	91	44741	3362	1977530	195165	189392	315225	1454	1064	712182	18467	60087	61029	45248	58860
19728	31	0	370637	89727	85795	67074	130190	0	0	0	0	0	369563	461667	1074	4	71	1003	66	68	5	3	1	3	2	71	6	71	0	0	0	71	0	2348470	196239	189463	334965	1454	1064	860232	289	103120	113342	82900	135606
63156	2848	3363	185981	52023	46181	35936	55538	0	0	0	0	0	137603	326169	48378	2045	47756	622	45256	45712	2500	2044	685	1141	415	47756	3185	47756	3379	3292	87	44464	3292	2534733	244618	237220	398138	737	260	914605	18358	59297	60628	44967	59022
19581	26	0	370105	89516	86025	67219	129607	0	0	0	0	0	369026	460909	1079	1	85	994	81	84	4	1	0	3	0	85	4	85	0	0	0	85	0	2905153	245699	237305	417735	737	260	1062658	286	102698	113456	83124	134972
62468	2882	3449	184773	51816	45948	35618	55089	0	0	0	0	0	137058	323524	47715	1977	47074	641	44574	45098	2500	1976	654	1178	378	47074	3154	47074	3462	3370	92	43704	3370	3090249	293414	284379	480214	103	3630	1117031	18214	58964	60394	44788	58432
19777	34	0	369230	89378	85948	67088	129097	0	0	0	0	0	368162	460192	1068	0	90	978	88	90	2	0	0	2	0	90	2	90	0	0	0	90	0	3459796	294483	284469	500005	103	3630	1265068	296	102720	113504	82579	134668
64219	2977	3488	187024	52551	46266	36275	55794	0	0	0	0	0	137781	329010	49243	2142	48611	632	46030	46469	2581	2142	708	1147	433	48611	3289	48611	3503	3383	120	45228	3383	3647124	343727	333081	564231	3606	2917	1319453	18625	59929	60939	45581	59220
19426	37	0	369904	89876	85581	67620	129029	0	0	0	0	0	368800	460971	1104	2	101	1003	98	100	3	1	0	2	0	101	3	101	0	0	0	101	0	4017362	344832	333183	583671	3606	2917	1467491	296	103146	113174	83097	134609
