processed_m4538_ME21_HV0_test40_SRCoff_170716_035815_TMBCounters.txt																																													
alct0 valid pattern flag received	alct1 valid pattern flag received	raw hits readout   	Pretrigger   	Pretrigger on CFEB0	Pretrigger on CFEB1	Pretrigger on CFEB2	Pretrigger on CFEB3	Pretrigger on CFEB4	Pretrigger on CFEB5	Pretrigger on CFEB6	Pretrigger on ME1A CFEB 4-6 only	Pretrigger on ME1B CFEBs 0-3 only	Discarded, CLCT0 invalid pattern after drift	BX pretrig waiting for triads to dissipate	clct0 sent to TMB matching section	clct1 sent to TMB matching section	TMB accepted alct	TMB match reject event  	Matching found one ALCT	Matching found one CLCT	Matching found two ALCTs	Matching found two CLCTs	ALCT0 copied into ALCT1 to make 2nd LCT	CLCT0 copied into CLCT1 to make 2nd LCT	LCT1 has higher quality than LCT0 	Transmitted LCT0 to MPC	Transmitted LCT1 to MPC	MPC rejected both LCT0 and LCT1	L1A received   	L1A received, TMB in L1A window	L1A received, no TMB in window	TMB triggered, no L1A in window	TMB readouts completed	Pretrigger counter   	CLCT counter   	TMB trigger counter	ALCTs received counter	L1As received counter 	Readout counter 	Orbit counter	CLCT pre-trigger and ALCT coincidence counter	CFEB0 active flag sent to DMB for readout	CFEB1 active flag sent to DMB for readout	CFEB2 active flag sent to DMB for readout	CFEB3 active flag sent to DMB for readout
67149	2437	2119	310945	81423	75222	60563	97817	0	0	0	0	0	268875	470786	42070	1639	40928	1142	38847	39291	2081	1637	571	1015	357	40928	2652	40928	2129	2005	124	38923	2005	559185	42902	40954	83383	2129	2005	104926	26243	92857	98919	74556	103364
47272	83	0	726509	178644	168449	137205	246632	0	0	0	0	0	723923	909805	2586	4	108	2478	101	104	7	4	0	3	3	108	7	108	0	0	0	108	0	1287424	45494	41063	130790	2129	2005	252974	845	203760	222584	167252	258233
69634	2754	2173	313291	82331	75589	60949	98693	0	0	0	0	0	269009	478426	44282	1808	43186	1096	40816	41381	2370	1805	576	1141	363	43186	2946	43186	2184	2056	128	41130	2056	1601339	89778	84249	200463	217	4061	307347	27702	93737	99334	75097	104345
47378	77	0	727211	178581	168913	137921	246362	0	0	0	0	0	724691	910214	2520	2	90	2430	86	88	4	2	1	3	0	90	5	90	0	0	0	90	0	2329131	92298	84339	247875	217	4061	455400	902	203372	223068	168157	257988
68338	2621	2153	312351	82223	75306	60850	98275	0	0	0	0	0	269198	475011	43152	1752	42013	1139	39785	40261	2228	1752	592	1068	355	42013	2820	42013	2159	2053	106	39960	2053	2642087	135452	126352	316257	2376	2018	509770	27001	93543	99233	74958	104041
48002	82	0	727435	178927	168094	138372	246521	0	0	0	0	0	724841	910201	2594	0	97	2497	90	97	7	0	0	7	0	97	7	97	0	0	0	97	0	3370093	138047	126449	364293	2376	2018	657810	944	203952	222161	168436	258164
67199	2517	2140	310228	80836	75023	60897	97632	0	0	0	0	0	268381	469572	41847	1714	40772	1075	38625	39058	2147	1714	592	1025	341	40772	2739	40772	2154	2039	115	38733	2039	3680880	179894	167221	431523	434	4057	712193	26231	92210	98745	74949	103247
47747	72	0	727345	178326	168845	138247	246411	0	0	0	0	0	724752	910285	2593	2	86	2507	80	84	6	2	0	4	0	86	6	86	0	0	0	86	0	4408800	182487	167307	479301	434	4057	860233	887	203269	222804	168185	258072
65312	2510	1991	307679	80365	74279	59843	97258	0	0	0	0	0	266702	464926	40977	1571	39865	1112	37699	38294	2166	1571	504	1099	319	39865	2670	39865	2002	1887	115	37978	1887	4718346	223470	207172	544733	2436	1848	914617	25516	91800	97680	73752	102706
47994	70	0	727929	178494	168784	138107	247088	0	0	0	0	0	725326	911032	2603	2	80	2523	76	79	4	1	1	4	1	80	5	80	0	0	0	80	0	5446907	226077	207252	592775	2436	1848	1062654	918	203593	222739	167904	258876
68746	2663	2186	312818	81988	75642	60573	98879	0	0	0	0	0	269491	475922	43327	1805	42160	1167	39898	40361	2262	1799	578	1041	347	42160	2840	42160	2198	2067	131	40093	2067	5760320	269405	249413	661560	538	3915	1117039	26987	93592	99278	74906	104451
47919	80	0	726911	178382	169607	137496	246002	0	0	0	0	0	724422	909538	2489	1	79	2410	74	78	5	1	0	4	0	79	5	79	0	0	0	79	0	6487832	271898	249492	709515	538	3915	1265089	868	203521	223529	167612	257691
